Acinonyx jubatus
 Crocuta crocuta
 Lycaon pictus
 Panthera leo
 Panthera pardus
Canis aureus
 Canis mesomelas
 Caracal caracal
 Leptailurus serval
Damaliscus korrigum
 Hippopotamus amphibius
 Kobus ellipsiprymnus
 Ourebia ourebi
 Pedetes capensis
 Phacochoerus africanus
 Redunca redunca
 Rhabdomys pumilio
 Taurotragus oryx
 Tragelaphus scriptus
Aepyceros melampus
 Alcelaphus buselaphus
 Connochaetes taurinus
 Equus quagga
 Nanger granti
 Eudorcas thomsonii
Heterohyrax brucei
 Procavia capensis
Giraffa camelopardalis
 Loxodonta africana
 Madoqua kirkii
 Papio anubis
 Syncerus caffer
