"","source_taxon_external_id","source_taxon_name","source_taxon_path","source_specimen_life_stage","interaction_type","target_taxon_external_id","target_taxon_name","target_taxon_path","target_specimen_life_stage","latitude","longitude","study_citation","study_source_citation"
"1","EOL:328680","Acinonyx jubatus","Animalia | Chordata | Mammalia | Carnivora | Felidae | Acinonyx | Acinonyx jubatus",NA,"preysOn","EOL:311498","Madoqua kirkii","Animalia | Chordata | Mammalia | Artiodactyla | Bovidae | Madoqua | Madoqua kirkii",NA,NA,NA,NA,NA
"2","EOL:328680","Acinonyx jubatus","Animalia | Chordata | Mammalia | Carnivora | Felidae | Acinonyx | Acinonyx jubatus",NA,"preysOn","EOL_V2:331084","Redunca redunca","Animalia | Chordata | Mammalia | Artiodactyla | Bovidae | Redunca | Redunca redunca",NA,NA,NA,NA,NA
"3","EOL:328680","Acinonyx jubatus","Animalia | Chordata | Mammalia | Carnivora | Felidae | Acinonyx | Acinonyx jubatus",NA,"preysOn","EOL:308540","Aepyceros melampus","Animalia | Chordata | Mammalia | Artiodactyla | Bovidae | Aepyceros | Aepyceros melampus",NA,NA,NA,NA,NA
"4","EOL:328680","Acinonyx jubatus","Animalia | Chordata | Mammalia | Carnivora | Felidae | Acinonyx | Acinonyx jubatus",NA,"preysOn","EOL:328332","Phacochoerus africanus","Animalia | Chordata | Mammalia | Artiodactyla | Suidae | Phacochoerus | Phacochoerus africanus",NA,NA,NA,NA,NA
"5","EOL:328680","Acinonyx jubatus","Animalia | Chordata | Mammalia | Carnivora | Felidae | Acinonyx | Acinonyx jubatus",NA,"preysOn","EOL:308531","Connochaetes taurinus","Animalia | Chordata | Mammalia | Artiodactyla | Bovidae | Connochaetes | Connochaetes taurinus",NA,NA,NA,NA,NA
"6","EOL:328680","Acinonyx jubatus","Animalia | Chordata | Mammalia | Carnivora | Felidae | Acinonyx | Acinonyx jubatus",NA,"preysOn","EOL:344589","Ourebia ourebi","Animalia | Chordata | Mammalia | Artiodactyla | Bovidae | Ourebia | Ourebia ourebi",NA,NA,NA,NA,NA
"7","EOL:328680","Acinonyx jubatus","Animalia | Chordata | Mammalia | Carnivora | Felidae | Acinonyx | Acinonyx jubatus",NA,"preysOn","EOL_V2:129513","Gazella granti","Animalia | Chordata | Mammalia | Artiodactyla | Bovidae | Gazella | Gazella granti",NA,NA,NA,NA,NA
"8","EOL:328680","Acinonyx jubatus","Animalia | Chordata | Mammalia | Carnivora | Felidae | Acinonyx | Acinonyx jubatus",NA,"preysOn","EOL:129521","Gazella thomsonii","Animalia | Chordata | Mammalia | Artiodactyla | Bovidae | Gazella | Gazella thomsonii",NA,NA,NA,NA,NA
"9","EOL:328680","Acinonyx jubatus","Animalia | Chordata | Mammalia | Carnivora | Felidae | Acinonyx | Acinonyx jubatus",NA,"preysOn","EOL:129521","Gazella thomsonii","Animalia | Chordata | Mammalia | Artiodactyla | Bovidae | Gazella | Gazella thomsonii",NA,NA,NA,NA,NA
"10","EOL:328680","Acinonyx jubatus","Animalia | Chordata | Mammalia | Carnivora | Felidae | Acinonyx | Acinonyx jubatus",NA,"preysOn","EOL:308531","Connochaetes taurinus","Animalia | Chordata | Mammalia | Artiodactyla | Bovidae | Connochaetes | Connochaetes taurinus",NA,NA,NA,NA,NA
