resource,consumer,body_mass_resource,body_mass_consumer,class_resource,class_consumer,category_resource,category_consumer
Gallus gallus,Bubo virginianus,751.72,1575.7,aves,aves,na,na
Mus musculus,Bubo virginianus,17.775,1575.7,mammals,aves,na,na
Megascops asio,Bubo virginianus,179.99,1575.7,aves,aves,na,na
Rattus norvegicus,Bubo virginianus,310.665,1575.7,mammals,aves,na,na
Cyanocitta cristata,Bubo virginianus,88,1575.7,aves,aves,na,na
Corvus brachyrhynchos,Bubo virginianus,448.76,1575.7,aves,aves,na,na
Bonasa umbellus,Bubo virginianus,530.91,1575.7,aves,aves,na,na
Columba livia,Bubo virginianus,354.2,1575.7,aves,aves,na,na
Sciurus niger,Bubo virginianus,761.9,1575.7,mammals,aves,na,na
Plectrophenax nivalis,Bubo virginianus,42.2,1575.7,aves,aves,na,na
Aythya marila,Bubo virginianus,1005.37,1575.7,aves,aves,na,na
Gallinula chloropus,Bubo virginianus,339.63,1575.7,aves,aves,na,na
Turdus migratorius,Bubo virginianus,79.98562144,1575.7,aves,aves,na,na
Agelaius phoeniceus,Bubo virginianus,50.78,1575.7,aves,aves,na,na
Melospiza melodia,Bubo virginianus,21.91,1575.7,aves,aves,na,na
Euphagus carolinus,Bubo virginianus,59.57,1575.7,aves,aves,na,na
Ondatra zibethicus,Bubo virginianus,1028.875,1575.7,mammals,aves,na,na
Podilymbus podiceps,Bubo virginianus,411.93,1575.7,aves,aves,na,na
Anas platyrhynchos,Bubo virginianus,843.42,1575.7,aves,aves,na,na
Tringa flavipes,Bubo virginianus,77.5,1575.7,aves,aves,na,na
Asio otus,Bubo virginianus,296.57,1575.7,aves,aves,na,na
Rallus elegans,Bubo virginianus,310.6604002,1575.7,aves,aves,na,na
Sciurus carolinensis,Strix varia,526.25,711.49,mammals,aves,na,na
Megascops asio,Strix varia,179.99,711.49,aves,aves,na,na
Bonasa umbellus,Strix varia,530.91,711.49,aves,aves,na,na
Cyanocitta cristata,Strix varia,88,711.49,aves,aves,na,na
Turdus migratorius,Strix varia,79.98562144,711.49,aves,aves,na,na
Mus musculus,Strix varia,17.775,711.49,mammals,aves,na,na
Sciurus niger,Strix varia,761.9,711.49,mammals,aves,na,na
Cyanocitta cristata,Tyto alba,88,403.32,aves,aves,na,na
Rattus norvegicus,Tyto alba,310.665,403.32,mammals,aves,na,na
Rattus norvegicus,Asio otus,310.665,296.57,mammals,aves,na,na
Plectrophenax nivalis,Asio flammeus,42.2,322.61,aves,aves,na,na
Rattus norvegicus,Megascops asio,310.665,179.99,mammals,aves,na,na
Rhinella marina,Dendrocygna autumnalis,106.25,755.3,amphibians,aves,na,na
Notiosorex crawfordi,Tyto alba,4.63,403.32,mammals,aves,na,na
Cryptotis parva,Tyto alba,4.915,403.32,mammals,aves,na,na
Onychomys leucogaster,Tyto alba,27.91,403.32,mammals,aves,na,na
Geomys bursarius,Tyto alba,178.875,403.32,mammals,aves,na,na
Sigmodon hispidus,Tyto alba,101.69,403.32,mammals,aves,na,na
Neotoma micropus,Tyto alba,246.25,403.32,mammals,aves,na,na
Passerculus sandwichensis,Tyto alba,19.97,403.32,aves,aves,na,na
Condylura cristata,Tyto alba,65.55,403.32,mammals,aves,na,na
Passer domesticus,Tyto alba,26.51,403.32,aves,aves,na,na
Ondatra zibethicus,Tyto alba,1028.875,403.32,mammals,aves,na,na
Antrozous pallidus,Tyto alba,21.5,403.32,mammals,aves,bat,na
Sylvilagus floridanus,Tyto alba,1191.395,403.32,mammals,aves,na,na
Zapus trinotatus,Tyto alba,27.5,403.32,mammals,aves,na,na
Rattus rattus,Tyto alba,186.065,403.32,mammals,aves,na,na
Mus musculus,Tyto alba,17.775,403.32,mammals,aves,na,na
Microtus townsendii,Tyto alba,58.425,403.32,mammals,aves,na,na
Microtus oregoni,Tyto alba,20.375,403.32,mammals,aves,na,na
Microtus longicaudus,Tyto alba,45.755,403.32,mammals,aves,na,na
Peromyscus maniculatus,Tyto alba,20.69,403.32,mammals,aves,na,na
Glaucomys sabrinus,Tyto alba,152,403.32,mammals,aves,na,na
Mustela erminea,Tyto alba,201.69,403.32,mammals,aves,na,na
Scapanus townsendii,Tyto alba,140.85,403.32,mammals,aves,na,na
Scapanus orarius,Tyto alba,60.95,403.32,mammals,aves,na,na
Neurotrichus gibbsii,Tyto alba,9.17,403.32,mammals,aves,na,na
Sorex vagrans,Tyto alba,5.89,403.32,mammals,aves,na,na
Sorex trowbridgii,Tyto alba,4.3,403.32,mammals,aves,na,na
Sorex cinereus,Tyto alba,4.4,403.32,mammals,aves,na,na
Sorex fumeus,Tyto alba,7.71,403.32,mammals,aves,na,na
Didelphis virginiana,Tyto alba,2332.74,403.32,mammals,aves,na,na
Tamias striatus,Tyto alba,111.91,403.32,mammals,aves,na,na
Eptesicus fuscus,Tyto alba,16.88,403.32,mammals,aves,bat,na
Mustela nivalis,Tyto alba,91.89,403.32,mammals,aves,na,na
Parascalops breweri,Tyto alba,50.8,403.32,mammals,aves,na,na
Zapus hudsonius,Tyto alba,17.76,403.32,mammals,aves,na,na
Peromyscus leucopus,Tyto alba,19.635,403.32,mammals,aves,na,na
Blarina brevicauda,Tyto alba,23.2,403.32,mammals,aves,na,na
Microtus pennsylvanicus,Tyto alba,39.625,403.32,mammals,aves,na,na
Scalopus aquaticus,Tyto alba,88.93,403.32,mammals,aves,na,na
Microtus ochrogaster,Tyto alba,40.255,403.32,mammals,aves,na,na
Synaptomys cooperi,Tyto alba,29.96,403.32,mammals,aves,na,na
Neofiber alleni,Tyto alba,265.5,403.32,mammals,aves,na,na
Peromyscus gossypinus,Tyto alba,28.545,403.32,mammals,aves,na,na
Oryzomys palustris,Tyto alba,53.54,403.32,mammals,aves,na,na
Glaucomys volans,Tyto alba,67.935,403.32,mammals,aves,na,na
Junco hyemalis,Tyto alba,19.5,403.32,aves,aves,na,na
Reithrodontomys humulis,Tyto alba,8.28,403.32,mammals,aves,na,na
Spizella pusilla,Tyto alba,12.5,403.32,aves,aves,na,na
Cardinalis cardinalis,Tyto alba,42.64,403.32,aves,aves,na,na
Mimus polyglottos,Tyto alba,47.6602606,403.32,aves,aves,na,na
Zonotrichia albicollis,Tyto alba,24.4,403.32,aves,aves,na,na
Colinus virginianus,Tyto alba,177.6874419,403.32,aves,aves,na,na
