occ,resource,consumer,body_mass_resource,body_mass_consumer,class_resource,class_consumer,category_resource,category_consumer
1,Marmota caudata,Canis lupus,4350,33591.665,mammals,mammals,na,na
1,Pituophis catenifer,Buteo jamaicensis,497.1560436,1101.16,reptilia,aves,na,na
1,Aythya marila,Larus canus,1005.37,412.53,aves,aves,na,na
1,Pituophis catenifer,Falco mexicanus,497.1560436,713.07,reptilia,aves,na,na
1,Oryctolagus cuniculus,Bubo virginianus,1711.11,1575.7,mammals,aves,na,na
1,Pseudochirulus cinereus,Canis lupus,977.48,33591.665,mammals,mammals,na,na
1,Larus glaucescens,Homo sapiens,1056.54,58620.315,aves,mammals,na,na
1,Chelydra serpentina,Lithobates catesbeianus,8133.379934,312.7083338,reptilia,amphibians,na,na
1,Microtus agrestis,Aegolius funereus,39.2,137.18,mammals,aves,na,na
1,Phrynosoma hernandesi,Asio otus,24.78618667,296.57,reptilia,aves,na,na
1,Columba livia,Circus approximans,354.2,746.19,aves,aves,na,na
1,Reithrodontomys humulis,Megascops asio,8.28,179.99,mammals,aves,na,na
1,Plectrophenax nivalis,Vulpes lagopus,42.2,3584.37,aves,mammals,na,na
1,Rattus rattus,Accipiter cooperii,186.065,429.67,mammals,aves,na,na
1,Anas platyrhynchos,Ursus arctos,843.42,188260.21,aves,mammals,na,na
1,Neotoma cinerea,Tyto alba,292.575,403.32,mammals,aves,na,na
1,Rattus exulans,Tyto alba,48.955,403.32,mammals,aves,na,na
1,Spermophilus brunneus,Accipiter cooperii,300,429.67,mammals,aves,na,na
1,Thamnophis butleri,Procyon lotor,42.2969156,5947.485,reptilia,mammals,na,na
1,Larus californicus,Procyon lotor,683.39,5947.485,aves,mammals,na,na
1,Lophodytes cucullatus,Haliaeetus leucocephalus,613.77,4700.58,aves,aves,na,na
1,Antrozous pallidus,Tyto alba,21.5,403.32,mammals,aves,bat,na
1,Pseudomys higginsi,Dasyurus viverrinus,65.05,1110,mammals,mammals,na,na
1,Manis javanica,Homo sapiens,5005,58620.315,mammals,mammals,na,na
1,Contopus virens,Accipiter cooperii,13.9,429.67,aves,aves,na,na
1,Calidris mauri,Asio flammeus,27.82,322.61,aves,aves,na,na
1,Passerella iliaca,Asio otus,33.25,296.57,aves,aves,na,na
1,Oreoscoptes montanus,Canis latrans,44.2,12703.165,aves,mammals,na,na
1,Pseudacris triseriata,Mephitis mephitis,1.208816667,2242.51,amphibians,mammals,na,na
1,Alligator mississippiensis,Procyon lotor,60001.02853,5947.485,reptilia,mammals,na,na
1,Peromyscus leucopus,Buteo platypterus,19.635,453.65,mammals,aves,na,na
1,Colaptes auratus,Accipiter striatus,131.46,130.59,aves,aves,na,na
1,Phasianus colchicus,Cathartes aura,1120.31,1518.24,aves,aves,na,na
1,Columbina inca,Accipiter cooperii,47.5,429.67,aves,aves,na,na
1,Lagopus muta,Falco peregrinus,535.3,759.95,aves,aves,na,na
1,Glaucomys volans,Procyon lotor,67.935,5947.485,mammals,mammals,na,na
1,Zenaida asiatica,Didelphis virginiana,153,2332.74,aves,mammals,na,na
1,Mus musculus,Bubo virginianus,17.775,1575.7,mammals,aves,na,na
1,Pseudacris regilla,Canis latrans,5.6,12703.165,amphibians,mammals,na,na
1,Urocyon cinereoargenteus,Aquila chrysaetos,3831.86,4247.97,mammals,aves,na,na
1,Hyla cinerea,Osteopilus septentrionalis,8.637087912,11.11,amphibians,amphibians,na,na
1,Hemitragus hylocrius,Cuon alpinus,74350,15036.665,mammals,mammals,na,na
1,Microtus pinetorum,Buteo platypterus,26.14,453.65,mammals,aves,na,na
1,Pelecanoides georgicus,Macronectes giganteus,121,3591.69,aves,aves,na,na
1,Dipodomys microps,Felis silvestris,55.45,4794.995,mammals,mammals,na,na
1,Peromyscus maniculatus,Lynx rufus,20.69,7647.05,mammals,mammals,na,na
1,Colinus virginianus,Buteo albicaudatus,177.6874419,885,aves,aves,na,na
1,Ortalis vetula,Falco femoralis,562.6,335.76,aves,aves,na,na
1,Aix sponsa,Alligator mississippiensis,657.59,60001.02853,aves,reptilia,na,na
1,Lanius ludovicianus,Buteo swainsoni,51.59,946.61,aves,aves,na,na
1,Aythya americana,Homo sapiens,1075.69,58620.315,aves,mammals,na,na
1,Raphicerus sharpei,Parahyaena brunnea,9414.96,43400,mammals,mammals,na,na
1,Caiman yacare,Panthera onca,20906.55581,92450,reptilia,mammals,na,na
1,Certhia americana,Spermophilus lateralis,8.1,183,aves,mammals,na,na
1,Larus californicus,Falco mexicanus,683.39,713.07,aves,aves,na,na
1,Marmota monax,Cathartes aura,3840.86,1518.24,mammals,aves,na,na
1,Microtus montanus,Ursus arctos,39.615,188260.21,mammals,mammals,na,na
1,Phalaropus lobatus,Phalaropus lobatus,36.68,36.68,aves,aves,na,na
1,Spermophilus brunneus,Circus cyaneus,300,392.98,mammals,aves,na,na
1,Thryothorus ludovicianus,Asio otus,17.53923351,296.57,aves,aves,na,na
1,Mus musculus,Lanius excubitor,17.775,63.41,mammals,aves,na,na
1,Lepus californicus,Bubo virginianus,2421.24,1575.7,mammals,aves,na,na
1,Quiscalus mexicanus,Accipiter cooperii,160.47,429.67,aves,aves,na,na
1,Equus quagga,Panthera leo,4.00E+05,160249.53,mammals,mammals,na,na
